old;new;date
ABY;AY;11/14/2017
ADHD;ARCT;11/16/2017
AKTAV;AKTIA;04/13/2018
AKTRV;AKTIA;04/13/2018
ATEL A;ATRE;12/08/2017
ATVEXA;ATVEXA B;12/12/2017
AVG1L;AUG1L;11/02/2017
AVIR;VXRT;02/14/2018
BDFC;LBRT;01/10/2018
CBG;CBRE;03/20/2018
CEIX.V;CEIX;11/29/2017
CELLNK B;CLNK B;04/19/2018
CEMP;MLNT;11/06/2017
CFCO;FG;12/01/2017
CFCOW;FG.W;12/01/2017
CLEAN;LOUD;12/05/2017
CLNT;SEII;01/08/2018
CNNX;CNXM;01/04/2018
CNXC;CCR;11/29/2017
COGT;FLNT;04/16/2018
COH;TPR;10/31/2017
CORE;CORE A;11/27/2017
CUBN;RBNC;01/02/2018
DBIT;GRMY;10/27/2017
DBSE;EURZ;10/27/2017
DENERG;ORSTED;10/31/2017
DEVP;DEVP B;12/15/2017
DLPH;APTV;12/05/2017
DLPH.V;DLPH;12/05/2017
DYN.A;VST.A;04/09/2018
EAGL;WSC;11/30/2017
EAGLW;WSCWW;11/30/2017
ELITE B;AGF B;01/08/2018
ELVHB;EABGB;04/18/2018
ENRJ;UAVS;03/27/2018
ESDI;EAST;01/04/2018
ESDIW;EASTW;01/04/2018
EXXI;EGC;03/21/2018
EZY;QSY;12/18/2017
FH;XSPA;01/08/2018
FMCI;CVON;02/23/2018
FMCIW;CVONW;02/23/2018
FTW;NFTY;04/18/2018
GAB.V;GAB.R;11/09/2017
GALE;SLS;01/02/2018
GES;ATHENA;12/15/2017
GGZ.V;GGZ.R;10/26/2017
GPAC;PRPL;02/05/2018
GPACW;PRPLW;02/05/2018
GUT.V;GUT.R;04/03/2018
HCN;WELL;02/28/2018
HCN$I;WELL$I;02/28/2018
HLS;EHC;01/02/2018
HOTR;BURG;11/14/2017
ICTA B;ICTA;10/27/2017
IMAIL B;IMAIL;03/23/2018
INCR;SYNH;01/08/2018
IRL.V;IRL.R;11/08/2017
ITEK;RCKT;01/05/2018
ITX;ELE;10/31/2017
KIO.V;KIO.R;10/24/2017
LARE;MJ;02/09/2018
LILAV;LILA;01/02/2018
LILKV;LILAK;01/02/2018
LLSC;PPSC;02/15/2018
LLSP;PPLC;02/15/2018
LOV.V;LOV;11/17/2017
LTEA;LBCC;01/05/2018
LYKO;LYKO A;12/11/2017
MIII;IEA;03/28/2018
MIIIW;IEAWW;03/28/2018
MJX;MJ;02/09/2018
MLNK;STCN;02/27/2018
MSC B;EMPIR B;03/02/2018
MSDI;INNT;02/01/2018
MSDIW;INNTW;02/01/2018
MTU;MUFG;04/02/2018
NEOT;EVFM;01/18/2018
NQ;LKM;03/14/2018
NRCIA;NRC;04/18/2018
NVGN;KZIA;11/24/2017
NYHR;ORIGO;01/11/2018
OMAA;BSA;03/26/2018
OMAM;BSIG;03/26/2018
OPERA;OTELLO;01/18/2018
ORPHA TEMP;ORPHA;11/21/2017
PBMD;IMMP;12/01/2017
PCLN;BKNG;02/27/2018
PHMD;FCRE;11/01/2017
PPHM;CDMO;01/08/2018
PPHMP;CDMOP;01/08/2018
PSDV;EYPT;04/02/2018
Q;IQV;11/15/2017
QVCA;QRTEA;03/12/2018
QVCB;QRTEB;03/12/2018
RDVTV;RDVT;03/27/2018
RFL.V;RFL;03/27/2018
SCSS;SNBR;11/01/2017
SEAM;INVUO;12/21/2017
SKBN;SBANK;11/06/2017
SKLN;AIPT;02/02/2018
SONS;RBBN;11/29/2017
SRE4A;SRE$A;01/11/2018
SRUN;AMR;02/12/2018
SRUNW;AMRWW;02/12/2018
SYMX;SES;12/04/2017
SZC.V;SZC.R;02/20/2018
TAXR;PLCY;04/19/2018
TICC;OXSQ;03/23/2018
TICCL;OXSQL;03/23/2018
TLV1V;AHTIUM;11/29/2017
VNTV;WP;01/16/2018
VOICE;SYN;04/09/2018
WDTI;WTMF;12/18/2017
WPCS;DCAR;01/31/2018
WPPGY;WPP;11/28/2017
WYIG;TMSR;02/07/2018
WYIGW;TMSRW;02/07/2018
XNY;DXF;03/05/2018
YERR;YRIV;02/14/2018
YTY1V;YIT;02/01/2018
